#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
B159HolyCNF1ST2,HolyFire,Lib2,159,CNF01STP2,CNF01,1S,TP2,10/8/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B160HolyCNF2NT2,HolyFire,Lib2,160,CNF02NTP2,CNF02,2N,TP2,10/8/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B161HolyCNF2ET2,HolyFire,Lib2,161,CNF02ETP2,CNF02,2E,TP2,10/8/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B162HolyCNF2ST2,HolyFire,Lib2,162,CNF02STP2,CNF02,2S,TP2,10/8/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B163HolyCNF2WT2,HolyFire,Lib2,163,CNF02WTP2,CNF02,2W,TP2,10/8/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B164HolyCNF3NT2,HolyFire,Lib2,164,CNF03NTP2,CNF03,3N,TP2,10/8/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,High,4.5,1240,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B165HolyCNF3ET2,HolyFire,Lib2,165,CNF03ETP2,CNF03,3E,TP2,10/8/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B166HolyCNF3ST2,HolyFire,Lib2,166,CNF03STP2,CNF03,3S,TP2,10/8/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B167HolyCNF3WT2,HolyFire,Lib2,167,CNF03WTP2,CNF03,3W,TP2,10/8/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,2,1240,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B168HolyCNF4NT2,HolyFire,Lib2,168,CNF04NTP2,CNF04,4N,TP2,10/8/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Low,0.5,1260,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B169HolyCNF4ET2,HolyFire,Lib2,169,CNF04ETP2,CNF04,4E,TP2,10/8/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,High,4.7,1260,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B171HolyCNF4ST2,HolyFire,Lib2,171,CNF04STP2,CNF04,4S,TP2,10/8/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,2.5,1260,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B172HolyCNF4WT2,HolyFire,Lib2,172,CNF04WTP2,CNF04,4W,TP2,10/8/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,3,1260,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B173HolyCNF6NT2,HolyFire,Lib2,173,CNF06NTP2,CNF06,6N,TP2,10/8/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B174HolyCNF6ET2,HolyFire,Lib2,174,CNF06ETP2,CNF06,6E,TP2,10/8/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,11.75,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B175HolyCNF6ST2,HolyFire,Lib2,175,CNF06STP2,CNF06,6S,TP2,10/8/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B176HolCNF6WT2,HolyFire,Lib2,176,CNF06WTP2,CNF06,6W,TP2,10/8/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B177HolyCNF7NT2,HolyFire,Lib2,177,CNF07NTP2,CNF07,7N,TP2,10/8/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B178HolyCNF7NT2,HolyFire,Lib2,178,CNF07ETP2,CNF07,7E,TP2,10/8/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B179HolyCNF7ST2,HolyFire,Lib2,179,CNF07STP2,CNF07,7S,TP2,10/8/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B180HolyCNF7WT2,HolyFire,Lib2,180,CNF07WTP2,CNF07,7W,TP2,10/8/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B181HolyCNF8NT2,HolyFire,Lib2,181,CNF08NTP2,CNF08,8N,TP2,10/8/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B182HolyCNF8ET2,HolyFire,Lib2,182,CNF08ETP2,CNF08,8E,TP2,10/8/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B183HolyCNF8ST2,HolyFire,Lib2,183,CNF08STP2,CNF08,8S,TP2,10/8/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B184HolyCNF8WT2,HolyFire,Lib2,184,CNF08WTP2,CNF08,8W,TP2,10/8/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B185HolyCNF9NT2,HolyFire,Lib2,185,CNF09NTP2,CNF09,9N,TP2,10/8/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B187HolyCNF9ET2,HolyFire,Lib2,187,CNF09ETP2,CNF09,9E,TP2,10/8/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B188HolyCNF9ST2,HolyFire,Lib2,188,CNF09STP2,CNF09,9S,TP2,10/8/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B189HolyCNF9WT2,HolyFire,Lib2,189,CNF09WTP2,CNF09,9W,TP2,10/8/18,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
B190HolyCNF8NT1,HolyFire,Lib2,190,CNF08NTP1,CNF08,8N,TP1,9/30/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B191HolyCNF8ET1,HolyFire,Lib2,191,CNF08NTP1,CNF08,8E,TP1,9/30/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B192HolyCNF8ST1,HolyFire,Lib2,192,CNF08NTP1,CNF08,8S,TP1,9/30/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B193HolyCNF8WT1,HolyFire,Lib2,193,CNF08NTP1,CNF08,8W,TP1,9/30/18,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B194HolyCNF7NT1,HolyFire,Lib2,194,CNF07NTP1,CNF07,7N,TP1,9/30/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B195HolyCNF7ET1,HolyFire,Lib2,195,CNF07NTP1,CNF07,7E,TP1,9/30/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B196HolyCNF7ST1,HolyFire,Lib2,196,CNF07NTP1,CNF07,7S,TP1,9/30/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B197HolyCNF7WT1,HolyFire,Lib2,97,CNF07NTP1,CNF07,7W,TP1,9/30/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B198HolyCNF6NT1,HolyFire,Lib2,198,CNF06NTP1,CNF06,6N,TP1,9/30/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B199HolyCNF6ET1,HolyFire,Lib2,199,CNF06NTP1,CNF06,6E,TP1,9/30/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,11.75,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B1HolyCNF5NT1,HolyFire,Lib1,1,CNF05NTP1,CNF05,5N,TP1,9/30/18,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B200HolyCNF6ST1,HolyFire,Lib2,200,CNF06NTP1,CNF06,6S,TP1,9/30/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B201HolyCNF6WT1,HolyFire,Lib2,201,CNF06NTP1,CNF06,6W,TP1,9/30/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B202HolyCNF4NT1,HolyFire,Lib2,202,CNF04NTP1,CNF04,4N,TP1,9/30/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Low,0.5,1260,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B203HolyCNF4ET1,HolyFire,Lib2,203,CNF04NTP1,CNF04,4E,TP1,9/30/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,High,4.7,1260,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B204HolyCNF4ST1,HolyFire,Lib2,204,CNF04NTP1,CNF04,4S,TP1,9/30/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,2.5,1260,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B205HolyCNF4WT1,HolyFire,Lib2,205,CNF04NTP1,CNF04,4W,TP1,9/30/18,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,3,1260,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B207HolyCNF3NT1,HolyFire,Lib2,207,CNF03NTP1,CNF03,3N,TP1,9/30/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,High,4.5,1240,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B208HolyCNF3ET1,HolyFire,Lib2,208,CNF03NTP1,CNF03,3E,TP1,9/30/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B209HolyCNF3ST1,HolyFire,Lib2,209,CNF03NTP1,CNF03,3S,TP1,9/30/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B210HolyCNF3WT1,HolyFire,Lib2,210,CNF03NTP1,CNF03,3W,TP1,9/30/18,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,2,1240,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B211HolyCNF2NT1,HolyFire,Lib2,211,CNF02NTP1,CNF02,2N,TP1,9/30/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B212HolyCNF2ET1,HolyFire,Lib2,212,CNF02ETP1,CNF02,2E,TP1,9/30/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B213HolyCNF2ST1,HolyFire,Lib2,213,CNF02STP1,CNF02,2S,TP1,9/30/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B214HolyCNF2WT1,HolyFire,Lib2,214,CNF02WTP1,CNF02,2W,TP1,9/30/18,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B215HolyCNF1NT1,HolyFire,Lib2,215,CNF01NTP1,CNF01,1N,TP1,9/30/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B216HolyCNF1ET1,HolyFire,Lib2,216,CNF01ETP1,CNF01,1E,TP1,9/30/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Low,1,1232,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B217HolyCNF1ST1,HolyFire,Lib2,217,CNF01STP1,CNF01,1S,TP1,9/30/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B218HolyCNF1WT1,HolyFire,Lib2,218,CNF01WTP1,CNF01,1W,TP1,9/30/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,17,2,0.5,581.2,24.21,6.5,72,75.2,63,0,0
B219HolyCNF9NT7,HolyFire,Lib2,219,CNF09NTP7,CNF09,9N,TP7,3/19/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B220HolyCNF9ET7,HolyFire,Lib2,220,CNF09ETP7,CNF09,9E,TP7,3/19/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B221HolyCNF9ST7,HolyFire,Lib2,221,CNF09STP7,CNF09,9S,TP7,3/19/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B222HolyCNF9WT7,HolyFire,Lib2,222,CNF09WTP7,CNF09,9W,TP7,3/19/19,Soil,10,33.66779901,-117.455492,Southeast,19.05,Unburned,Unburned,Unburned,0,1239,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B223HolyCNF8NT7,HolyFire,Lib2,223,CNF08NTP7,CNF08,8N,TP7,3/19/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B224HolyCNF8ET7,HolyFire,Lib2,334,CNF08ETP7,CNF08,8E,TP7,3/19/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B225HolyCNF8ST7,HolyFire,Lib2,225,CNF08STP7,CNF08,8S,TP7,3/19/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B226HolyCNF8WT7,HolyFire,Lib2,226,CNF08WTP7,CNF08,8W,TP7,3/19/19,Soil,10,33.66813001,-117.45604,Southwest,10.29,Unburned,Unburned,Unburned,0,1249,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B227HolyCNF7NT7,HolyFire,Lib2,227,CNF07NTP7,CNF07,7N,TP7,3/19/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B228HolyCNF7ET7,HolyFire,Lib3,228,CNF07ETP7,CNF07,7E,TP7,3/19/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B229HolyCNF7ST7,HolyFire,Lib3,229,CNF07STP7,CNF07,7S,TP7,3/19/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B230HolyCNF7WT7,HolyFire,Lib3,230,CNF07WTP7,CNF07,7W,TP7,3/19/19,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B231HolyCNF6NT7,HolyFire,Lib3,231,CNF06NTP7,CNF06,6N,TP7,3/19/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B232HolyCNF6ET7,HolyFire,Lib3,232,CNF06ETP7,CNF06,6E,TP7,3/19/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,11.75,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B233HolyCNF6ST7,HolyFire,Lib3,233,CNF06STP7,CNF06,6S,TP7,3/19/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B234HolyCNF6WT7,HolyFire,Lib3,234,CNF06WTP7,CNF06,6W,TP7,3/19/19,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B235HolyCNF5WT7,HolyFire,Lib3,235,CNF05WTP7,CNF05,5W,TP7,3/19/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,7.75,1200,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B236HolyCNF5ST7,HolyFire,Lib3,236,CNF05STP7,CNF05,5S,TP7,3/19/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,8.25,1200,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B238HolyCNF5NT7,HolyFire,Lib3,238,CNF05NTP7,CNF05,5N,TP7,3/19/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,5.5,1200,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B239HolyCNF5ET7,HolyFire,Lib3,239,CNF05ETP7,CNF05,5E,TP7,3/19/19,Soil,10,33.67808503,-117.457193,West,29.46,Burned,Moderate,High,4.5,1200,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B240HolyCNF4NT7,HolyFire,Lib3,240,CNF04NTP7,CNF04,4N,TP7,3/19/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Low,0.5,1260,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B241HolyCNF4ET7,HolyFire,Lib3,241,CNF04ETP7,CNF04,4E,TP7,3/19/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,High,4.7,1260,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B242HolyCNF4ST7,HolyFire,Lib3,242,CNF04STP7,CNF04,4S,TP7,3/19/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,2.5,1260,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B243HolyCNF4WT7,HolyFire,Lib3,243,CNF04WTP7,CNF04,4W,TP7,3/19/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,Moderate,3,1260,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B244HolyCNF3NT7,HolyFire,Lib3,244,CNF03NTP7,CNF03,3N,TP7,3/19/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,High,4.5,1240,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B245HolyCNF3ET7,HolyFire,Lib3,245,CNF03ETP7,CNF03,3E,TP7,3/19/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B246HolyCNF3ST7,HolyFire,Lib3,246,CNF03STP7,CNF03,3S,TP7,3/19/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B247HolyCNF3WT7,HolyFire,Lib3,247,CNF03WTP7,CNF03,3W,TP7,3/19/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,2,1240,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B248HolyCNF2NT7,HolyFire,Lib3,248,CNF02NTP7,CNF02,2N,TP7,3/19/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B249HolyCNF2ET7,HolyFire,Lib3,249,CNF02ETP7,CNF02,2E,TP7,3/19/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B250HolyCNF2ST7,HolyFire,Lib3,250,CNF02STP7,CNF02,2S,TP7,3/19/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B251HolyCNF2WT7,HolyFire,Lib3,251,CNF02WTP7,CNF02,2W,TP7,3/19/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B252HolyCNF1NT7,HolyFire,Lib3,252,CNF01NTP7,CNF01,1N,TP7,3/19/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B253HolyCNF1ET7,HolyFire,Lib3,253,CNF01ETP7,CNF01,1E,TP7,3/19/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Low,1,1232,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B254HolyCNF1ST7,HolyFire,Lib3,254,CNF01STP7,CNF01,1S,TP7,3/19/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B255HolyCNF1WT7,HolyFire,Lib3,255,CNF01WTP7,CNF01,1W,TP7,3/19/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,187,25,6,151.35,4.88,3.9,11,12.1,69,76.96,2.48
B257HolyCNF1NT8,HolyFire,Lib3,257,CNF01NTP8,CNF01,1N,TP8,6/26/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B258HolyCNF1ET8,HolyFire,Lib3,258,CNF01ETP8,CNF01,1E,TP8,6/26/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Low,1,1232,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B259HolyCNF1ST8,HolyFire,Lib3,259,CNF01STP8,CNF01,1S,TP8,6/26/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B260HolyCNF1WT8,HolyFire,Lib3,260,CNF01WTP8,CNF01,1W,TP8,6/26/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B261HolyCNF2NT8,HolyFire,Lib3,261,CNF02NTP8,CNF02,2N,TP8,6/26/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B262HolyCNF2ET8,HolyFire,Lib3,262,CNF02ETP8,CNF02,2E,TP8,6/26/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B263HolyCNF2ST8,HolyFire,Lib3,263,CNF02STP8,CNF02,2S,TP8,6/26/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
B264HolyCNF2WT8,HolyFire,Lib3,264,CNF02WTP8,CNF02,2W,TP8,6/26/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,286,39,9,223.91,7.46,2.9,19,22.4,72,2.29,0.08
