#SampleID,Wildfire,Library,SampleNum,SiteID,Plot,Subplot,TimePoint,Date,SampleType,SoilDepth,Longitude,Latitude,Aspect,Slope,Treatment,BAERsbs,AshSeverity,InitialAshDepth,Elev,TSFdays,TSFweeks,TSFmonths,TotalSolarRad,AvgSolarRad,AvgWind,AvgAirTemp,AvgFuelTemp,AvgHumidity,TotalPrecip,AvgPrecip
B92HolyCNF7EbT4,HolyFire,Lib3,92,CNF07ETP4,CNF07,7E,TP4,11/19/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B93HolyCNF7SbT4,HolyFire,Lib3,93,CNF07STP4,CNF07,7S,TP4,11/19/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B94HolyCNF7WbT4,HolyFire,Lib3,94,CNF07WTP4,CNF07,7W,TP4,11/19/18,Soil,10,33.67135101,-117.458591,Southwest,25.55,Unburned,Unburned,Unburned,0,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B95HolyCNF6NbT4,HolyFire,Lib3,95,CNF06NTP4,CNF06,6N,TP4,11/19/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Moderate,1.9,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B96HolyCNF6EbT4,HolyFire,Lib3,96,CNF06ETP4,CNF06,6E,TP4,11/19/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,11.75,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
B97HolyCNF6SbT4,HolyFire,Lib3,97,CNF06STP4,CNF06,6S,TP4,11/19/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,High,5.5,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
BCNF01WTP2,HolyFire,Lib4James,332,CNF01WTP2,CNF01,1W,TP2,10/8/18,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,25,3,0.75,138.93,4.48,3.2,19,19,50,21.08,0.68
BCNF06WTP4,HolyFire,Lib4James,333,CNF06WTP4,CNF06,6W,TP4,11/19/18,Soil,10,33.67167497,-117.458871,Southwest,12.89,Burned,Moderate,Low,1.16,1288,67,9,2,108.69,3.62,4,16,15.3,41,59.18,1.97
BHoly1ET9,HolyFire,Lib4,296,CNF01ETP9,CNF01,1E,TP9,9/24/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,1,1232,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly1NT9,HolyFire,Lib4,295,CNF01NTP9,CNF01,1N,TP9,9/24/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7,1232,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly1ST9,HolyFire,Lib4,297,CNF01STP9,CNF01,1S,TP9,9/24/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,High,7.5,1232,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly1WT9,HolyFire,Lib4,298,CNF01WTP9,CNF01,1W,TP9,9/24/19,Soil,10,33.69009898,-117.463133,South,9.4,Burned,Moderate,Moderate,4,1232,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly2ET9,HolyFire,Lib4,300,CNF02ETP9,CNF02,2E,TP9,9/24/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,Moderate,4,1265,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly2NT9,HolyFire,Lib4,299,CNF02NTP9,CNF02,2N,TP9,9/24/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly2ST9,HolyFire,Lib4,301,CNF02STP9,CNF02,2S,TP9,9/24/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly2WT9,HolyFire,Lib4,302,CNF02WTP9,CNF02,2W,TP9,9/24/19,Soil,10,33.69537304,-117.471397,Southwest,23.66,Burned,Moderate,High,6,1265,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly3ET9,HolyFire,Lib4,304,CNF03ETP9,CNF03,3E,TP9,9/24/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,4,1240,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly3NT9,HolyFire,Lib4,303,CNF03NTP9,CNF03,3N,TP9,9/24/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,High,4.5,1240,17,2,0.5,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly3ST9,HolyFire,Lib4,305,CNF03STP9,CNF03,3S,TP9,9/24/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Low,1.3,1240,34,4.5,1,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly3WT9,HolyFire,Lib4,306,CNF03WTP9,CNF03,3W,TP9,9/24/19,Soil,10,33.69325502,-117.466555,Southwest,12.54,Burned,Moderate,Moderate,2,1240,67,9,2,159.1,5.68,2.9,22,23.4,54,0.51,0.02
BHoly4ET9,HolyFire,Lib4,308,CNF04ETP9,CNF04,4E,TP9,9/24/19,Soil,10,33.68456097,-117.457109,South,15.71,Burned,Moderate,High,4.7,1260,25,3,0.75,159.1,5.68,2.9,22,23.4,54,0.51,0.02
