FungalSeqID,SiteId,SeqSampleNum,FireName,Library,Timepoint,Date,Latitude,Longitude,Elevation,Aspect,AspectDegrees,SampleType,SampleDepth,Plot,Subplot,Treatment,BAERsbs,AshSeverity,InitialAshDepth,TSFdays,TSFweeks,TSFmonths,AvgSolarRad,AvgWind,AvgAirTemp,AvgMeanFueTemp,AvgPerMeanHumid,TotPrecip,AvgPrecipitation
F026Holy2ST6,CNF2ST6,26,Holy,Lib1,T6,1/22/19,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2S,Burned,Moderate,High,6,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F027Holy2NT6,CNF2NT6,27,Holy,Lib1,T6,1/22/19,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2N,Burned,Moderate,High,6,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F028Holy2WT6,CNF2WT6,28,Holy,Lib1,T6,1/22/19,33.69537304,-117.471397,1260,Southwest,242,Soil,10,CNF02,2W,Burned,Moderate,High,6,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F029Holy3ST6,CNF3ST6,29,Holy,Lib1,T6,1/22/19,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3S,Burned,Moderate,Low,1.3,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F030Holy3ET6,CNF3ET6,30,Holy,Lib1,T6,1/22/19,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3E,Burned,Moderate,High,4,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F031Holy3WT6,CNF3WT6,31,Holy,Lib1,T6,1/22/19,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3W,Burned,Moderate,Moderate,2,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F032Holy3NT6,CNF3NT6,32,Holy,Lib1,T6,1/22/19,33.69325502,-117.466555,1237,Southwest,222,Soil,10,CNF03,3N,Burned,Moderate,High,4.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F033Holy6NT6,CNF6NT6,33,Holy,Lib1,T6,1/22/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6N,Burned,Moderate,Moderate,1.9,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F034Holy6ET6,CNF6ET6,34,Holy,Lib1,T6,1/22/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6E,Burned,Moderate,High,11.8,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F035Holy6ST6,CNF6ST6,35,Holy,Lib1,T6,1/22/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6S,Burned,Moderate,High,5.5,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F036Holy6WT6,CNF6WT6,36,Holy,Lib1,T6,1/22/19,33.67167497,-117.458871,1285,Southwest,212,Soil,10,CNF06,6W,Burned,Moderate,Moderate,2,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F037Holy7NT6,CNF7NT6,37,Holy,Lib1,T6,1/22/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7N,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F038Holy7ET6,CNF7ET6,38,Holy,Lib1,T6,1/22/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7E,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F039Holy7WT6,CNF7WT6,39,Holy,Lib1,T6,1/22/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7W,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
F040Holy7ST6,CNF7ST6,40,Holy,Lib1,T6,1/22/19,33.67135101,-117.458591,1283,Southwest,232,Soil,10,CNF07,7S,Unburned,Unburned,Unburned,0,131,18,4,3.05,4.4,11.5,11.4,54,148,4.927
